Name,Country,Operator/Owner,Users,Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee,Apogee,Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date_of_Launch,Expected_Lifetime,Launch_Site,NORAD Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interstellar Boundary EXplorer (IBEX),United States,National Aeronautics and Space Administration (NASA)/Goddard Space Flight Center,Government,Space Science,Elliptical,Deep Highly Eccentric,0,5,3,6.01E-01,15.2,8 days,462,,,10/19/2008,,Kwajalein Island,33401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geotail (Geomagnetic Tail Laboratory),Multinational,Institute of Space and Astronautical Science (ISAS)/NASA/United Kingdom,Government,Space Science,Elliptical,Deep Highly Eccentric,0,4,2,5.59E-01,9.39,"2,474.83",980,,273,7/24/1992,,Cape Canaveral,22049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSAT 4CR (Indian National Satellite),India,Indian Space Research Organization (ISRO),Government,Communications,GEO,,73.97,64,3,1.02E-04,0.03,1436.11,"2,130",,"3,000",9/2/2007,12 yrs.,Satish Dhawan Space Centre,32050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TianLian 2 (TL-1-02, CTDRS)",China,China Aerospace Science and Technology Corp. (CASC),Government,Communications,GEO,,176.72,5,4,1.81E-04,1,1436.1,"2,250",,,7/11/2011,,Xichang Satellite Launch Center,37737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Express-AM44,Russian Federation ,Russian Federation n Satellite Communications Company (Intersputnik),Commercial,Communications,GEO,,-11,5,5,9.44E-05,0.11,1446.57,"2,532",,,2/11/2009,12 yrs.,Baikonur Cosmodrome,33595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DirecTV-14,United States,"DirecTV, Inc.",Commercial,Communications,GEO,,-99,55,315,3.55E-05,0.02,1443.51,"5,900",,"20,000",12/6/2014,15 yrs.,Guiana Space Center,40333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP 20 (United States 149) (Defense Support Program),United States,Air Force,Military,Earth Observation,GEO,,-36.25,53,6,1.42E-04,4.08,142.08,"2,380",,"1,485",5/18/2000,7-9 yrs.,Cape Canaveral,26356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apstar 7,China,APT Satellite Holdings Ltd.,Commercial,Communications,GEO,,76.5,135,"5,315",1.18E-04,0.03,1440.31,"5,054",,,3/31/2012,15 yrs.,Xichang Satellite Launch Center,38107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JCSat 14 (JCSat 2B, Japan Communications Satellite 14)",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,,154,513,"5,315",7.45E-04,0.02,1441.5,"4,500",,,5/6/2016,15 yrs.,Cape Canaveral,41471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SES-3,United States,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,GEO,,-103,"5,355","5,315",2.37E-05,0.05,1439.41,"3,112",,,7/15/2011,15 yrs.,Baikonur Cosmodrome,37748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thaicom-8,Thailand,Thaicom Public Company Ltd. ,Commercial,Communications,GEO,,78.5,"5,355",233,5.56E-04,0.03,1440.09,"3,025",,,5/27/2016,15 yrs.,Cape Canaveral,41552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Badr 5 (Arabsat 5B),Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,,26,"35,834","5,664",5.80E-04,0.06,1439.76,"5,420",,,6/3/2010,15 yrs.,Baikonur Cosmodrome,36592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 1M,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,,19.2,135,122,5.69E-04,0.14,1438.2,"5,345",,"9,900",11/5/2008,15 yrs.,Baikonur Cosmodrome,33436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
